REM2	NM_173527	['ENST00000536884', 'ENST00000267396']
OR1E1	NM_003553	['ENST00000322608']
ATRX	NM_000489	['ENST00000373344', 'ENST00000480283']
PMM2	NM_000303	['ENST00000268261', 'ENST00000564030']
PMM1	NM_002676	['ENST00000216259']
ASS1	NM_000050	['ENST00000352480']
EN1	NM_001426	['ENST00000295206']
SPR	NM_003124	['ENST00000234454']
CAMK4	NM_001744	['ENST00000509645', 'ENST00000282356']
ZC3H10	NM_032786	['ENST00000257940']
ZC3H14	NM_024824	['ENST00000251038']
GRIN1	NM_007327	['ENST00000371561']
SP8	NM_182700	['ENST00000418710']
DHX9	NM_001357	['ENST00000485081', 'ENST00000367549']
TCOF1	NM_001135243	['ENST00000377797']
NUP98	NM_139132	['ENST00000324932']
XPC	NM_004628	['ENST00000285021']
SP1	NM_138473	['ENST00000426431']
XPA	NM_000380	['ENST00000375128', 'ENST00000462523']
SP3	NM_003111	['ENST00000310015']
SP4	NM_003112	['ENST00000222584']
SP7	NM_001173467	['ENST00000536324']
SPPL3	NM_139015	['ENST00000353487']
OPA3	NM_001017989	['ENST00000323060']
OPA3	NM_025136	['ENST00000263275']
OPA1	NM_015560	['ENST00000392438']
OPA1	NM_130837	['ENST00000361510']
COL7A1	NM_000094	['ENST00000328333']
KLLN	NM_001126049	['ENST00000445946']
SPPL2C	NM_175882	['ENST00000329196']
ITGA8	NM_003638	['ENST00000378076']
ITGA9	NM_002207	['ENST00000422441', 'ENST00000264741']
UGCG	NM_003358	['ENST00000374279']
MYO3B	NM_138995	['ENST00000409940', 'ENST00000334231']
ATP2A1	NM_173201	['ENST00000395503', 'ENST00000564732']
ATP2A2	NM_001681	['ENST00000308664', 'ENST00000377685']
ATP2A2	NM_170665	['ENST00000313432', 'ENST00000395494']
ATP2A3	NM_174953	['ENST00000309890']
ITGA1	NM_181501	['ENST00000504669', 'ENST00000282588']
ITGA2	NM_002203	['ENST00000296585']
NOP2	NM_001258309	['ENST00000382421']
ITGA4	NM_000885	['ENST00000476824', 'ENST00000465522', 'ENST00000397033']
ITGA5	NM_002205	['ENST00000293379']
RIT1	NM_006912	['ENST00000368323']
ITGA7	NM_002206	['ENST00000257879']
TRHR	NM_003301	['ENST00000311762']
DENND4A	NM_001144823	['ENST00000443035']
DENND4B	NM_014856	['ENST00000361217']
UFSP1	NM_001015072	['ENST00000388761']
UFSP2	NM_018359	['ENST00000514247']
GAP43	NM_001130064	['ENST00000393780']
HRH4	NM_021624	['ENST00000256906']
HRH2	NM_001131055	['ENST00000377291']
CYP27B1	NM_000785	['ENST00000547451', 'ENST00000546567', 'ENST00000228606']
FBXL17	NM_001163315	['ENST00000496714', 'ENST00000542267']
FBXL19	NM_001099784	['ENST00000380310']
FBXL18	NM_024963	['ENST00000382368', 'ENST00000453700']
SDK1	NM_152744	['ENST00000404826']
SDK2	NM_001144952	['ENST00000479356', 'ENST00000392650']
TPRN	NM_001128228	['ENST00000409012']
THSD1	NM_018676	['ENST00000349258']
CHST8	NM_001127896	['ENST00000434302']
COL4A5	NM_000495	['ENST00000483338']
COL4A4	NM_000092	['ENST00000396625']
COL4A3	NM_000091	['ENST00000396578']
COL4A2	NM_001846	['ENST00000360467']
COL4A1	NM_001845	['ENST00000375820']
GRN	NM_002087	['ENST00000053867']
CHST3	NM_004273	['ENST00000373115']
CHST2	NM_004267	['ENST00000309575']
CHST6	NM_021615	['ENST00000332272']
HLX	NM_021958	['ENST00000366903']
HLCS	NM_000411	['ENST00000336648']
NOG	NM_005450	['ENST00000332822']
ITGAV	NM_002210	['ENST00000261023']
HIBCH	NM_014362	['ENST00000359678']
ITGAM	NM_000632	['ENST00000544665', 'ENST00000287497']
NOV	NM_002514	['ENST00000259526']
ITGAE	NM_002208	['ENST00000572179', 'ENST00000263087']
SMAD9	NM_001127217	['ENST00000379826']
TRERF1	NM_033502	['ENST00000372917', 'ENST00000541110']
LRPAP1	NM_002337	['ENST00000500728']
SMAD6	NM_005585	['ENST00000288840']
SMAD7	NM_005904	['ENST00000262158']
SMAD7	NM_001190823	['ENST00000545051']
SMAD1	NM_005900	['ENST00000515385', 'ENST00000302085']
SMAD2	NM_005901	['ENST00000262160']
SMAD3	NM_005902	['ENST00000327367']
MUS81	NM_025128	['ENST00000308110', 'ENST00000531905']
TMPRSS11A	NM_182606	['ENST00000334830']
IGF2R	NM_000876	['ENST00000356956']
TMPRSS11D	NM_004262	['ENST00000283916', 'ENST00000505533']
TMPRSS11E	NM_014058	['ENST00000305363']
RAD21L1	NM_001136566	['ENST00000409241']
PLRG1	NM_002669	['ENST00000499023']
SLC36A2	NM_181776	['ENST00000335244', 'ENST00000521967', 'ENST00000522829']
ERICH3	NM_001002912	['ENST00000420661', 'ENST00000326665']
ART4	NM_021071	['ENST00000228936']
HAUS7	NM_017518	['ENST00000334497', 'ENST00000421080']
COX4I2	NM_032609	['ENST00000376075']
COX4I1	NM_001861	['ENST00000568339']
BFAR	NM_016561	['ENST00000261658']
KDM2B	NM_032590	['ENST00000377069', 'ENST00000377071', 'ENST00000538046']
OR6P1	NM_001160325	['ENST00000334632']
CCDC116	NM_152612	['ENST00000292779', 'ENST00000607942']
CADPS2	NM_017954	['ENST00000334010']
CCDC114	NM_144577	['ENST00000315396', 'ENST00000474199', 'ENST00000497273']
CCDC115	NM_032357	['ENST00000442217', 'ENST00000259229']
MCF2L	NM_001112732	['ENST00000397030']
ABCD4	NM_005050	['ENST00000356924']
MTCL1	NM_015210	['ENST00000517570', 'ENST00000518815', 'ENST00000517554', 'ENST00000359865']
ATP1A4	NM_144699	['ENST00000477338', 'ENST00000368081', 'ENST00000469023']
ATP1A3	NM_152296	['ENST00000302102', 'ENST00000441343', 'ENST00000545399']
ATP1A2	NM_000702	['ENST00000361216', 'ENST00000472488']
ATP1A1	NM_001160233	['ENST00000537345']
ATP1A1	NM_000701	['ENST00000295598', 'ENST00000488733']
MGRN1	NM_001142290	['ENST00000399577']
CRTAP	NM_006371	['ENST00000320954']
DHX8	NM_004941	['ENST00000262415', 'ENST00000540306']
DPT	NM_001937	['ENST00000367817']
CPEB3	NM_014912	['ENST00000412050']
SBSPON	NM_153225	['ENST00000297354']
SRBD1	NM_018079	['ENST00000263736']
ABAT	NM_020686	['ENST00000268251']
ZNF780B	NM_001005851	['ENST00000434248']
FRG1	NM_004477	['ENST00000226798']
TP53TG5	NM_014477	['ENST00000372726']
ZNF41	NM_153380	['ENST00000397050', 'ENST00000313116', 'ENST00000377065']
IFT80	NM_020800	['ENST00000326448']
TBC1D31	NM_001145088	['ENST00000309336', 'ENST00000518099', 'ENST00000521914']
IFT88	NM_175605	['ENST00000382778']
POU5F1B	NM_001159542	['ENST00000391675']
CTCFL	NM_001269040	['ENST00000609232']
SP2	NM_003110	['ENST00000376741']
CNTF	NM_000614	['ENST00000361987']
MCM10	NM_182751	['ENST00000378714']
NUP93	NM_014669	['ENST00000308159']
IL10RB	NM_000628	['ENST00000433395', 'ENST00000290200', 'ENST00000493295']
ATG4C	NM_032852	['ENST00000317868']
PHOX2A	NM_005169	['ENST00000298231']
PHOX2B	NM_003924	['ENST00000226382']
LRGUK	NM_144648	['ENST00000285928']
UPK2	NM_006760	['ENST00000264031']
CFH	NM_000186	['ENST00000367429']
CFI	NM_000204	['ENST00000394634', 'ENST00000504853']
PNP	NM_000270	['ENST00000557229', 'ENST00000556754', 'ENST00000556293', 'ENST00000361505']
ANKFY1	NM_001257999	['ENST00000341657']
CFB	NM_001710	['ENST00000461569', 'ENST00000424727', 'ENST00000475920', 'ENST00000436692', 'ENST00000484113', 'ENST00000399981', 'ENST00000427888', 'ENST00000419920', 'ENST00000375455', 'ENST00000426239', 'ENST00000433503', 'ENST00000456570', 'ENST00000419411', 'ENST00000455591', 'ENST00000472489', 'ENST00000489768', 'ENST00000417261', 'ENST00000494049', 'ENST00000549222', 'ENST00000472581', 'ENST00000425368']
CREBBP	NM_004380	['ENST00000262367']
CFP	NM_002621	['ENST00000247153', 'ENST00000485991']
AAAS	NM_015665	['ENST00000209873']
HAMP	NM_021175	['ENST00000598398']
MLLT1	NM_005934	['ENST00000252674']
SIX5	NM_175875	['ENST00000317578']
SIX6	NM_007374	['ENST00000327720']
SAGE1	NM_018666	['ENST00000535938']
MR1	NM_001194999	['ENST00000367580']
SIX2	NM_016932	['ENST00000303077']
SIX3	NM_005413	['ENST00000260653']
CNPY3	NM_006586	['ENST00000372836']
CNPY2	NM_014255	['ENST00000273308']
NODAL	NM_018055	['ENST00000287139']
HMG20A	NM_018200	['ENST00000336216', 'ENST00000381714', 'ENST00000560986']
HMG20B	NM_006339	['ENST00000488973', 'ENST00000333651', 'ENST00000262949']
AAGAB	NM_024666	['ENST00000261880']
C4orf19	NM_001104629	['ENST00000381980']
SHOX2	NM_003030	['ENST00000389589']
CHFR	NM_018223	['ENST00000315585']
FBXO7	NM_012179	['ENST00000492535', 'ENST00000266087']
SYPL2	NM_001040709	['ENST00000369872']
RFX8	NM_001145664	['ENST00000428343', 'ENST00000481179']
RFX5	NM_000449	['ENST00000290524']
RFX6	NM_173560	['ENST00000332958']
RFX7	NM_022841	['ENST00000559847', 'ENST00000423270']
NRXN3	NM_004796	['ENST00000556496', 'ENST00000554719']
NRXN2	NM_138732	['ENST00000377559']
NRXN2	NM_138734	['ENST00000464307', 'ENST00000301894']
NRXN2	NM_015080	['ENST00000377551', 'ENST00000265459']
NRXN1	NM_001135659	['ENST00000404971']
NRXN1	NM_138735	['ENST00000342183']
RFX3	NM_134428	['ENST00000382004']
YDJC	NM_001017964	['ENST00000292778', 'ENST00000415762']
IBA57	NM_001010867	['ENST00000366711']
APC	NM_000038	['ENST00000257430']
ETV3L	NM_001004341	['ENST00000454449']
UQCRC2	NM_003366	['ENST00000268379', 'ENST00000563711']
XPNPEP1	NM_001167604	['ENST00000322238']
XPNPEP2	NM_003399	['ENST00000371106']
UQCRC1	NM_003365	['ENST00000203407']
GGCX	NM_000821	['ENST00000233838']
ADNP	NM_015339	['ENST00000396029']
KHDRBS1	NM_006559	['ENST00000484270', 'ENST00000327300']
ACTL6A	NM_004301	['ENST00000429709']
LHCGR	NM_000233	['ENST00000401907', 'ENST00000294954']
INF2	NM_022489	['ENST00000392634']
